,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
train_ACC,0.81,0.79,0.81,0.81,0.8,0.79,0.78,0.8,0.8,0.81,0.81,0.8,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.81,0.8,0.8,0.81,0.8,0.81,0.81,0.8,0.79,0.81,0.81
train_GEOACC,0.81,0.79,0.81,0.81,0.8,0.79,0.78,0.8,0.8,0.81,0.81,0.8,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.81,0.8,0.8,0.81,0.8,0.81,0.81,0.8,0.79,0.81,0.81
train_AUROC,0.88,0.89,0.9,0.9,0.9,0.89,0.88,0.9,0.89,0.9,0.9,0.89,0.9,0.9,0.89,0.9,0.89,0.9,0.89,0.9,0.89,0.89,0.91,0.9,0.9,0.9,0.89,0.9,0.9,0.89
train_SPE,0.8,0.8,0.81,0.81,0.8,0.79,0.78,0.8,0.8,0.81,0.81,0.8,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.81,0.8,0.8,0.81,0.8,0.81,0.81,0.8,0.79,0.82,0.81
train_SEN,0.81,0.79,0.81,0.81,0.8,0.79,0.78,0.8,0.8,0.81,0.81,0.8,0.8,0.8,0.79,0.8,0.8,0.8,0.79,0.81,0.8,0.8,0.81,0.8,0.81,0.81,0.8,0.79,0.81,0.81
test_ACC,0.88,0.78,0.76,0.7,0.73,0.77,0.88,0.77,0.74,0.71,0.82,0.75,0.72,0.68,0.7,0.75,0.83,0.75,0.74,0.72,0.83,0.78,0.74,0.72,0.74,0.75,0.85,0.74,0.79,0.71
test_GEOACC,0.88,0.78,0.76,0.7,0.73,0.77,0.88,0.77,0.74,0.7,0.82,0.75,0.72,0.68,0.7,0.75,0.83,0.75,0.74,0.72,0.83,0.78,0.74,0.72,0.74,0.75,0.85,0.74,0.79,0.7
test_AUROC,0.93,0.88,0.82,0.77,0.82,0.85,0.94,0.78,0.84,0.81,0.91,0.86,0.81,0.78,0.81,0.83,0.93,0.78,0.84,0.85,0.92,0.88,0.79,0.79,0.85,0.85,0.95,0.78,0.85,0.84
test_SPE,0.91,0.78,0.76,0.7,0.71,0.75,0.93,0.8,0.73,0.67,0.85,0.75,0.73,0.67,0.69,0.76,0.8,0.77,0.73,0.7,0.84,0.77,0.74,0.71,0.72,0.75,0.89,0.75,0.8,0.68
test_SEN,0.84,0.78,0.76,0.7,0.78,0.8,0.82,0.72,0.76,0.82,0.78,0.76,0.7,0.7,0.72,0.74,0.88,0.72,0.76,0.78,0.82,0.8,0.74,0.74,0.78,0.76,0.8,0.72,0.78,0.8
Ths,[0.4973290115250604],[0.49983127998664145],[0.5058854250718259],[0.5060862895051086],[0.505360287242002],[0.5039609405767782],[0.5099516823494727],[0.5019720807264747],[0.5025978588606238],[0.5124991153593584],[0.5036301153416861],[0.5051497600302339],[0.5034027939478851],[0.5064721066512522],[0.5004192633349245],[0.49795767479976094],[0.5090108350909623],[0.5119507530342476],[0.5008456053726166],[0.5038488497211512],[0.5072972115677898],[0.49737712300098663],[0.5015289565113485],[0.5101643783507931],[0.5047179748080085],[0.507021795553666],[0.49590157272889007],[0.5216646444277322],[0.5067378611770192],[0.5054562514649636]
Mean,0.86,0.81,0.8,0.77,0.79,0.8,0.85,0.8,0.79,0.78,0.83,0.79,0.78,0.76,0.77,0.79,0.84,0.79,0.79,0.79,0.83,0.81,0.79,0.78,0.8,0.8,0.84,0.78,0.82,0.79
